name,coordinates,postcode,Latitude,Longitude
Glenboig Development Trust,"(55.8931476, -4.04928649)",ML5 2RD,55.8931476,-4.04928649
Glenelg & Arnisdale Development Trust,"(57.22047324, -5.56325053)",IV40 8LA,57.22047324,-5.56325053
Glenfarg Community Hall Group,"(56.27868319, -3.4002089)",PH2 9NZ,56.27868319,-3.4002089
Glenkens Community & Arts Trust,"(54.83675985, -4.0512814)",DG6 4HZ,54.83675985,-4.0512814
Go Golspie,"(57.97312792, -3.97659126)",KW10 6TG,57.97312792,-3.97659126
Gorebridge Community Development Trust,"(55.84510787, -3.05043307)",EH23 4TT,55.84510787,-3.05043307
Govanhill Baths Community Trust,"(55.8373555, -4.26209669)",G42 7QP,55.8373555,-4.26209669
Govanhill Community Development Trust,"(55.83983288, -4.26080313)",G42 7JG,55.83983288,-4.26080313
Grantshouse Development Company Ltd,"(55.86658812, -2.28790951)",TD11 3RL,55.86658812,-2.28790951
Great Bernera Community Development Trust,"(58.21141169, -6.78965879)",HS2 9LX,58.21141169,-6.78965879
Greener Kirkcaldy,"(56.11005258, -3.16410832)",KY1 1XT,56.11005258,-3.16410832
Grow 73,"(55.81887901, -4.20009195)",G73 3RQ,55.81887901,-4.20009195
Growing21,"(55.87302941, -4.16453373)",G33 3TJ,55.87302941,-4.16453373
Healthy n Happy,"(55.8285661, -4.21018742)",G73 1DL,55.8285661,-4.21018742
Helmsdale & District Development Trust,"(58.12008882, -3.6564217)",KW8 6JL,58.12008882,-3.6564217
Here We Are (Cairndow) Ltd,"(56.26964932, -4.93330156)",PA26 8BL,56.26964932,-4.93330156
Huntly & District Development Trust,"(57.44757639, -2.78584031)",AB54 8BR,57.44757639,-2.78584031
Inchinnan Development Trust,"(55.891595, -4.433302)",,55.891595,-4.433302
Innerleithen Community Trust,"(55.61702113, -3.05724884)",EH44 6JX,55.61702113,-3.05724884
Inverclyde Community Development Trust,"(55.95049514, -4.76032389)",PA15 1JZ,55.95049514,-4.76032389
Invergordon Development Trust,"(57.7009313, -4.2366157)",IV17 0PQ,57.7009313,-4.2366157
Iomairt Chille-Chomain,"(55.71224249, -6.42399078)",PA48 7UE,55.71224249,-6.42399078
Iona Renewables,"(56.3269165, -6.40481444)",PA76 6SP,56.3269165,-6.40481444
Island of Hoy Development Trust,"(58.79906753, -3.2002814)",KW16 3PG,58.79906753,-3.2002814
Island of Kerrera Development Trust,"(56.40070345, -5.52873089)",PA34 4SX,56.40070345,-5.52873089
Islay Development Initiative,"(55.78895718, -6.25179974)",PA44 7NZ,55.78895718,-6.25179974
Isle of Canna Community Development Trust,"(57.0568028, -6.50368059)",PH44 4RS,57.0568028,-6.50368059
Isle of Cumbrae Initiative Community Company,"(55.75188011, -4.93209957)",KA28 0AJ,55.75188011,-4.93209957
Isle of Eigg Heritage Trust,"(56.90188681, -6.1427697)",PH42 4RL,56.90188681,-6.1427697
Isle of Gigha Heritage Trust,"(55.68538537, -5.73664807)",PA41 7AA,55.68538537,-5.73664807
Isle of Luing Community Trust,"(56.25042735, -5.6538968)",PA34 4TX,56.25042735,-5.6538968
Isle of Rum Community Trust,"(57.01541289, -6.28150839)",PH43 4RR,57.01541289,-6.28150839
John O'Groats Development Trust,"(58.63954416, -3.07319531)",KW1 4YR,58.63954416,-3.07319531
Johnstonebridge Community Centre Trust,"(55.21055594, -3.41674358)",DG11 1ES,55.21055594,-3.41674358
"KPT (Keir, Penpont, Tynron) Development Trust","(55.23240829, -3.81463476)",DG3 4BP,55.23240829,-3.81463476
Killin and Ardeonaig Community Development Trust Limited,"(56.46329516, -4.32070145)",FK21 8XE,56.46329516,-4.32070145
Kilmadock Development Trust Limited,"(56.19009088, -4.05294186)",FK16 6DF,56.19009088,-4.05294186
Kincardine Community Association Ltd ,"(56.06925248, -3.71602913)",FK10 4SF,56.06925248,-3.71602913
Kinghorn Community Land Association,"(56.07513099, -3.19192542)",KY3 9YG,56.07513099,-3.19192542
Kinloch Historical Society,"(58.10250272, -6.53167439)",HS2 9PJ,58.10250272,-6.53167439
Kinlochleven Community Trust,"(56.71403562, -4.96060476)",PH50 4SH,56.71403562,-4.96060476
Kirkcolm Community Trust ,"(54.97352177, -5.0826864)",DG9 0NW,54.97352177,-5.0826864
Kirkconnel & Kelloholm Development Trust,"(55.38730737, -4.00372547)",DG4 6NB,55.38730737,-4.00372547
