Charity Name,Charity Number,Postcode,Latitude,Longitude,Main Operating Location
Len Thomson Charitable Trust,SC000981,EH3 9EE,55.94372139,-3.19360096,City of Edinburgh
Lockerbie Mother & Toddler Group,SC000982,DG11 2GZ,55.12395944,-3.35262454,Dumfries & Galloway
Central Borders Citizens Advice Bureau,SC000983,TD1 1RZ,55.61806562,-2.81170814,Scottish Borders
Home-Start Perth and Kinross LTD,SC000986,PH1 5PP,56.39854445,-3.43492191,Perth & Kinross
Cross Ness Church Of Scotland,SC000991,HS2 0SP,58.4681568,-6.31286181,Western Isles
Dallas Village Hall (Known As Houldsworth Institute),SC000992,IV36 2SA,57.55319508,-3.46675281,Moray
Tong Recreation Association,SC000996,HS2 0HS,58.24395989,-6.34382084,Western Isles
North Knapdale Parish Church Of Scotland,SC001002,PA31 8PN,56.02828964,-5.62972725,Argyll & Bute
St Congans Episcopal Church: Turriff,SC001003,AB53 8HJ,57.53587086,-2.43684352,Aberdeenshire
Deeside Christian Fellowship,SC001016,AB31 5PE,57.05937691,-2.47284302,Aberdeen
Western Infirmary Kidney Patients Association,SC001017,PA2 0RX,55.82192947,-4.45032366,Glasgow City
Peeblesshire Federation Of Village & Community Halls.,SC001019,EH45 8AL,55.65142163,-3.18941049,Scottish Borders
Strathaven: Trinity Parish Church of Scotland,SC001020,ML10 6FT,55.6821053,-4.05669967,South Lanarkshire
Craig Sellar Endowment Fund,SC001029,PA80 5XT,56.99752757,-7.4971108,Highland
Parkhead Congregational Church,SC001033,G31 5EU,55.85174348,-4.19418467,Glasgow City
Cardross Trust,SC001041,G82 5HD,55.96759402,-4.67134346,Argyll & Bute
East Neuk Fife Round Table No 1120 - Charitable Fund,SC001047,KY10 2PZ,56.21443036,-2.73502704,Fife
The Glencorse Association,SC001050,EH26 0QZ,55.84772614,-3.19108771,Midlothian
Whitburn South Parish Church of Scotland,SC001053,EH47 8NZ,55.84433239,-3.67850389,West Lothian
Dingwall St Clements Parish Church Of Scotland,SC001056,IV15 9LQ,57.60006867,-4.42665843,Highland
