Charity Name,Charity Number,Postcode,Latitude,Longitude,Main Operating Location
Rhubaba Gallery and Studios,SC043963,EH6 5DA,55.96531724,-3.17733232,City of Edinburgh
Grandparents Parenting Again and Kinship Carers Midlothian,SC043967,EH22 2ND,55.89838348,-3.05241641,Midlothian
Brora and District Action Group-BaDAG,SC043968,KW9 6PT,58.0105624,-3.85074231,Highland
Rural Rascals Out of School Club,SC043971,AB32 7BA,57.17507716,-2.42605962,Aberdeenshire
Stow Kids Club,SC043975,TD1 2SU,55.72469501,-2.89591311,Scottish Borders
Glasgow SE Foodbank,SC043981,G42 7AT,55.84060798,-4.2577495,Glasgow City
Hamilton District Food Bank,SC043982,ML3 6EE,55.77618408,-4.03451524,South Lanarkshire
1st Laxdale Scout Group,SC043983,HS2 0LR,58.2750031,-6.32663136,Western Isles
29th City of Dundee Guide Unit,SC043984,DD5 4QQ,56.47840778,-2.84305405,Angus
Friends of Loch Etive,SC043986,PA35 1HR,56.41650302,-5.19455856,Argyll & Bute
Bill McLaren Park Limited,SC043991,TD9 7HS,55.4238843,-2.8035795,Scottish Borders
The Altens & Cove Community Association,SC043992,AB12 3SE,57.10718642,-2.08561618,Aberdeen
Cardrona Brownie Unit,SC043996,EH45 9LJ,55.63785241,-3.10491266,Scottish Borders
Community Alliance Trust Limited,SC043998,EH45 8QP,55.71238122,-3.20603325,City of Edinburgh
Friockheim Drop-In,SC044001,DD11 4TR,56.63938025,-2.66144318,Angus
West Lothian Handball,SC044003,EH14 4AD,55.90327557,-3.33053856,Midlothian
East Renfrewshire University of the Third Age,SC044004,PA1 1SD,55.84309672,-4.40751937,East Renfrewshire
The Leith Trust,SC044005,EH6 6RR,55.97431281,-3.16776684,City of Edinburgh
Menstrie Primary School Parent Council,SC044006,FK11 7BZ,56.14999271,-3.85583899,Clackmannanshire
Fairlie Community Sports Club,SC044009,KA29 0BS,55.75940221,-4.85202964,North Ayrshire
2nd Kirkliston Rainbow Unit,SC044010,EH29 9AR,55.95702713,-3.40428438,City of Edinburgh
28 West Lothian Scout Group,SC044012,EH48 2LD,55.89441829,-3.68797492,West Lothian
Comfort Zone Alternative Therapies SCIO,SC044014,G22 5BS,55.88142283,-4.25367564,Glasgow City
Cockenzie House and Gardens,SC044016,EH32 0HY,55.96938398,-2.9636447,East Lothian
Local Energy Action Plan (LEAP) SCIO,SC044019,PA12 4AB,55.79611902,-4.62724186,Renfrewshire
Stonehouse Senior Citizens Pavillion,SC044022,ML9 3NY,55.68949759,-3.99764898,South Lanarkshire
Reidvale Housing Association,SC044023,G31 1QW,55.85817774,-4.21627941,Glasgow City
Lochend Community Growing Project,SC044024,EH7 6DL,55.96033285,-3.15331374,City of Edinburgh
Dundonald Games Society SCIO,SC044025,KA2 9HD,55.57761275,-4.59532666,South Ayrshire
Ruthrieston Community Centre Asssociation,SC044026,AB10 7LL,57.1286202,-2.11840453,Aberdeen
Cumnock Juniors Community Enterprise,SC044028,KA18 1LZ,55.45291377,-4.25674992,East Ayrshire
Elsie Normington Foundation,SC044029,IV1 3YD,57.50161818,-4.24178023,Highland
Edinburgh Social Enterprise Network Limited,SC044030,EH8 9RR,55.94529573,-3.18128805,City of Edinburgh
Northfield Community Learning Association SCIO,SC044034,AB16 7LL,57.16594056,-2.16214255,Aberdeen
Cambusbarron Community Out of School Club,SC044035,FK7 9NU,56.10859938,-3.96686955,Stirling
Hear For You,SC044037,ML11 9WT,55.66996511,-3.79308373,South Lanarkshire
The Dundee Botanic Garden Endowment Trust,SC044040,DD5 1DN,56.46817527,-2.88048289,Dundee City
Broughton Primary School Trust ,SC044041,EH7 4LD,55.96542986,-3.1889986,City of Edinburgh
Castle Loch Lochmaben Community Trust,SC044045,DG11 1QH,55.13635681,-3.44233469,Dumfries & Galloway
Lawsondale Sports Centre Trust,SC044049,AB32 6PL,57.1621341,-2.28240348,Aberdeenshire
Irvine Inspire,SC044052,KA12 8PW,55.61062322,-4.67703645,North Ayrshire
Nairn Events Forum,SC044055,IV12 4HA,57.58693648,-3.88829089,Highland
Newtyle & Eassie Playgroup ,SC044057,DD8 1SQ,56.59355169,-3.08301671,Angus
The Glasgow School of Art Students Association,SC044061,G3 6PE,55.86718799,-4.26437475,Glasgow City
Saline and Steelend Community Development Trust,SC044063,KY12 9LW,56.13325924,-3.61686024,Fife
1st Muirhead Guide Unit,SC044064,DD2 5NE,56.4884054,-3.08513398,Angus
Football First Foundation,SC044066,DG7 1HF,54.93601088,-3.93496013,Dumfries & Galloway
The Cumnock Tryst,SC044068,KA30 8SN,55.83374975,-4.8415968,North Ayrshire
Looking After Our Elderly (Edinburgh),SC044076,EH6 6ED,55.97462954,-3.17226316,City of Edinburgh
Glasgow Afghan United,SC044077,G20 8ND,55.88549715,-4.28373479,Glasgow City
2nd Airdrie Brownie Unit,SC044078,G69 7FN,55.85627958,-4.06346644,North Lanarkshire
Cardrona Scout Group,SC044079,EH45 9LD,55.63885251,-3.10660893,Scottish Borders
Thenue Communities,SC044082,G40 1AG,55.85169798,-4.23316533,Glasgow City
Condor Playgroup,SC044084,DD11 2LX,56.55500988,-2.62165962,Angus
Linlithgow Community First Responders ,SC044085,EH49 6EE,55.96979705,-3.61540171,West Lothian
Levenmouth Foodbank Community Support Project,SC044087,KY8 4PH,56.19343982,-2.99589341,Fife
Livingston South Community Church,SC044088,EH55 8BW,55.85024441,-3.5689688,West Lothian
Kildean Discipleship Training Programme Limited,SC044091,IV2 5FX,57.47582524,-4.15339905,Highland
The Newtown Park Association Limited,SC044092,EH51 9AE,56.01848957,-3.60597946,West Lothian
Urras Coimhearsnachd Bhradhagair agus Arnoil (Bragar & Arnol Community Trust),SC044094,HS2 9DA,58.33575162,-6.62184306,Western Isles
Johnshaven First Responders,SC044100,DD10 0HE,56.79288926,-2.33829085,Aberdeenshire
"Spean Bridge, Roy Bridge and Achnacarry  SCIO",SC044101,PH34 4EZ,56.89234563,-4.91707943,Highland
Royal British Legion Scotland Inveraray and District Branch,SC044103,PA7 5EL,55.9116068,-4.50941221,Renfrewshire
Drumbeg Development Association,SC044105,IV27 4NW,58.2431638,-5.20131579,Highland
Hear Me ,SC044106,DD8 3PX,56.69767056,-2.82781667,Angus
Craigneuk Initiative Aftercare SCIO,SC044107,ML6 6AW,55.86704213,-3.97667806,North Lanarkshire
6th Lochaber (The Braes),SC044108,PH31 4AR,56.8884376,-4.68336687,Highland
16th Dunfermline Brownies,SC044114,KY11 8GX,56.05773572,-3.39662165,Fife
The Army School of Bagpipe Music and Highland Drumming Memorial Fund,SC044115,EH13 0LA,55.9099809,-3.24973948,City of Edinburgh
The Acting Bairns of Stonehouse,SC044116,ML9 3HR,55.68977914,-3.98916753,South Lanarkshire
Ignite Theatre,SC044124,G13 3PR,55.8925897,-4.35001476,Glasgow City
Pollok United SCIO,SC044127,G52 1RU,55.83631822,-4.33253137,Glasgow City
Midlothian Science Festival,SC044130,EH9 3BF,55.92428396,-3.17698386,Midlothian
Pencaitland Scout Group,SC044131,EH34 5HD,55.9107232,-2.88159426,East Lothian
Heedrum Hodrum,SC044132,EH54 6TZ,55.89525457,-3.54204705,West Lothian
The Athelstaneford Primary School Parent Council ,SC044133,EH39 5BU,56.00638038,-2.7899251,East Lothian
Pairc Sports Hall,SC044134,HS2 9QB,58.08505622,-6.54019002,Western Isles
Rotaract Club of Kirkcaldy Charitable Trust ,SC044135,KY1 3AH,56.1292661,-3.12498271,Fife
Houston Play Park Improvement Group,SC044143,PA6 7EX,55.86768132,-4.55486694,Renfrewshire
Cardrona Rainbow Unit,SC044145,EH45 9LJ,55.63785241,-3.10491266,Scottish Borders
2nd Currie Rainbow Unit,SC044146,EH11 2LG,55.94051811,-3.22517056,City of Edinburgh
Knightswood Community SCIO,SC044148,G13 3DD,55.88987563,-4.35658369,Glasgow City
Inverness Tennis and Squash Club,SC044150,IV3 5SB,57.47218452,-4.23252142,Highland
For Bute,SC044153,PA20 0AP,55.83785934,-5.05660966,Argyll & Bute
Made in Perth,SC044155,PH2 8JB,56.3925502,-3.43424279,Perth & Kinross
Gael Music,SC044156,ML3 6LJ,55.7772516,-4.04815652,Outwith Scotland
Perth and Kinross Foodbank,SC044158,PH1 5HY,56.39718474,-3.43206781,Perth & Kinross
Allt Dearg Educational Trust,SC044159,PA31 8PG,56.04693216,-5.59310082,Argyll & Bute
Uphall Station Institute Hall Association,SC044162,EH54 5PS,55.91653706,-3.50544954,West Lothian
Kingsbarns Community Development Trust,SC044166,KY16 8TL,56.29865977,-2.65690046,Fife
The Physiotherapy Trust,SC044175,TD8 6SY,55.48067795,-2.59730415,Scottish Borders
Skylark IX Recovery Trust,SC044184,G82 1LG,55.94285393,-4.57104408,West Dunbartonshire
Baldernock Community Development  Trust,SC044191,G62 6HD,55.93711473,-4.28262531,Glasgow City
N.E.R.V.E.S. (Neurological Equal Rights Volunteers Eilean Siar),SC044196,HS1 2TD,58.21416085,-6.37866988,Western Isles
Gargunnock After School Club,SC044199,FK8 3BJ,56.12562092,-4.08458016,Stirling
Renfrewshire Foodbank,SC044200,PA2 8TS,55.81690039,-4.43246363,Renfrewshire
Aberdeen Theatre Organ Trust,SC044203,AB15 8TD,57.15379791,-2.21956161,Aberdeen
East Neuk Emergency Trust,SC044210,KY9 1LS,56.22040302,-2.84768413,Fife
Dualchas Spe,SC044211,PH22 1QT,57.16248678,-3.80732844,Highland
Sutherland Community Sports and Recreation Hub,SC044217,KW10 6SE,57.99241179,-3.97865221,Highland
Earth in Common,SC044220,EH6 7EY,55.9735171,-3.16639687,City of Edinburgh
Logie Community Hub,SC044223,FK15 9JL,56.19272937,-3.9804573,Stirling
The Maryculter Woodlands Trust ,SC044224,AB12 5BZ,57.08270692,-2.23860813,Aberdeenshire
Fire Station Creative Limited,SC044226,KY12 7AN,56.07285844,-3.46255548,Fife
McRobert Park Association Limited,SC044229,AB54 7SW,57.56073024,-2.63111788,Aberdeenshire
Alhikmah Foundation SCIO,SC044230,AB24 5ER,57.15392471,-2.09843551,Aberdeen
Murrayburn Childminding Group,SC044232,EH11 4SR,55.92459963,-3.26827824,City of Edinburgh
"The Achnacarry,Bunarkaig and Clunes Community Group",SC044233,PH34 4EJ,56.94577187,-4.98213654,Highland
Harlaw Area Lifelong Learning Association [SCIO],SC044234,AB10 7HR,57.12366133,-2.12776966,Aberdeenshire
Balvonie Park Association,SC044235,IV2 6GF,57.45242211,-4.16630766,Highland
Girlguiding Fife South East Division,SC044237,KY8 4SG,56.20080255,-2.99761546,Fife
103rd B City of Edinburgh Rainbow Unit,SC044238,EH3 7JF,55.95029573,-3.2132285,City of Edinburgh
2nd Polmont Rainbow Guides,SC044239,FK2 0QF,55.99254022,-3.70679181,Falkirk
Langside Hall Trust,SC044244,G41 2AZ,55.83595858,-4.2735143,Glasgow City
West Dunbartonshire Community Foodshare,SC044248,G82 1NW,55.94479708,-4.57354338,West Dunbartonshire
Friends of Craigtoun,SC044249,KY15 5SX,56.31749509,-2.98442504,Fife
Stay Safe Highland,SC044253,IV12 5XP,57.52444525,-3.93188668,Highland
Bleachingfield Centre Management Committee ,SC044254,EH42 1DX,55.9998993,-2.51988005,East Lothian
Stop and Talk (Fife),SC044255,KY15 4QD,56.34667524,-3.02567406,Fife
Greater Maryhill Foodbank,SC044256,G20 9BD,55.88764358,-4.28478843,Glasgow City
Marty Mackay Memorial Fund,SC044264,IV27 4PN,58.56822393,-4.75042727,Highland
Durness Active Health,SC044267,IV27 4QA,58.5635271,-4.72458978,Highland
Glenrothes Tennis Club,SC044270,KY6 3QF,56.20698623,-3.1968521,Fife
212A Glasgow Brownie Pack,SC044271,G44 3QT,55.80784209,-4.27321485,Glasgow City
The Redeemed Christian Church of God- King of Glory,SC044273,EH7 6QJ,55.96009871,-3.13595914,City of Edinburgh
The Arbroath Spiritualists Centre,SC044276,DD11 1NB,56.55822866,-2.58219487,Angus
Ebenezer Hall Burnbank,SC044277,ML3 0QJ,55.78367587,-4.07503163,South Lanarkshire
Glenbuck Football Academy ,SC044281,ML11 9NH,55.59585896,-3.77648073,South Lanarkshire
Linlithgow Rose Community Football Club,SC044283,EH49 7PL,55.97956753,-3.61999224,West Lothian
Milestone Christian Fellowship,SC044295,KA26 9HG,55.24586979,-4.85373321,South Ayrshire
Armed Forces Veterans Association Alexandria,SC044297,G83 0JN,55.99705221,-4.58992795,West Dunbartonshire
Grace Church Dundee,SC044305,DD2 2ND,56.4678692,-2.99810116,Dundee City
Bankfoot Youth Group,SC044306,PH1 4AD,56.50121305,-3.51398646,Perth & Kinross
Friends of Robroyston Park,SC044307,G21 3ET,55.88313962,-4.19801906,North Lanarkshire
Oyne Community Association,SC044311,AB52 6QT,57.32175383,-2.54616528,Aberdeenshire
The Stonehaven Town Partnership,SC044314,AB39 2JD,56.96155605,-2.2103708,Aberdeenshire
1st Old Aberdeen Brownie Unit,SC044315,AB10 1UX,57.14522431,-2.11467336,Aberdeen
Dee Senior Section Unit,SC044316,AB10 1UX,57.14522431,-2.11467336,Aberdeen
1st Campbeltown Rainbow Unit,SC044317,PA28 6JP,55.41781755,-5.59809354,Argyll & Bute
5th Campbeltown Brownie Unit,SC044318,PA28 6JP,55.41781755,-5.59809354,Argyll & Bute
Strathearn ArtSpace SCIO,SC044319,PH7 4AX,56.37397858,-3.84330094,Perth & Kinross
74th A City of Edinburgh Guide Unit,SC044320,EH14 2RY,55.91416386,-3.28937673,City of Edinburgh
1st Campbeltown Brownie Unit,SC044321,PA28 6JP,55.41781755,-5.59809354,Argyll & Bute
Rickshaw SCIO,SC044324,G53 7PG,55.80927489,-4.33581256,Glasgow City
1st Culter Brownie Unit,SC044326,AB10 1UX,57.14522431,-2.11467336,Aberdeen
3rd Dreghorn Brownie Unit,SC044330,KA12 0PZ,55.62131665,-4.66191272,North Ayrshire
1st Lybster Rainbow Unit,SC044331,KW3 6AQ,58.30017002,-3.28415826,Highland
2nd Laurencekirk Rainbow Unit,SC044332,AB30 1DW,56.8300969,-2.46942395,Aberdeenshire
74th City of Edinburgh Rainbow Unit,SC044333,EH14 3HE,55.91013676,-3.2955142,City of Edinburgh
1st Laurencekirk Senior Section Unit,SC044334,AB30 1DZ,56.84824301,-2.47199565,Aberdeenshire
2nd Wick Rainbow Unit,SC044335,KW1 4DY,58.44715424,-3.09352541,Highland
Ness Bridge Club,SC044339,IV9 8QS,57.56462843,-4.17524444,Highland
East Dunbartonshire Food Co-ops Advisory Group,SC044342,G66 3BF,55.93457344,-4.15173105,East Dunbartonshire
1st Old Aberdeen Rainbow Unit,SC044345,AB10 1UX,57.14522431,-2.11467336,Aberdeen
1st Culter Rainbow Unit,SC044346,AB10 1UX,57.14522431,-2.11467336,Aberdeen
Crieff Community Trust,SC044348,PH7 4BE,56.37578073,-3.84296694,Perth & Kinross
Open Space Ministries Grace Community Church ,SC044349,ML11 0DU,55.64256636,-3.88583709,South Lanarkshire
The Hope Cafe Lanarkshire,SC044352,ML9 3NY,55.68949759,-3.99764898,South Lanarkshire
Milnathort and Kinross Allotment Association,SC044354,KY13 8FD,56.20383202,-3.42954255,Perth & Kinross
1st Shiskine Brownie Unit,SC044355,KA27 8EY,55.49449823,-5.32260614,North Ayrshire
Mearns District Girlguiding,SC044356,AB30 1DZ,56.84824301,-2.47199565,Aberdeenshire
39th City of Aberdeen Guide Unit,SC044357,AB10 1UX,57.14522431,-2.11467336,Aberdeen
1st Kintore Senior Section Unit,SC044364,AB51 0TF,57.23251041,-2.35524588,Aberdeenshire
17th East Kilbride Guide Unit,SC044365,G74 3EQ,55.76841018,-4.1639114,Stirling
2nd Bankhead Guide Unit,SC044366,AB10 1UX,57.14522431,-2.11467336,Aberdeen
1st Ormiston Guide Unit,SC044367,EH33 2JA,55.94335977,-2.95827497,East Lothian
Roots:Globalscope Edinburgh,SC044374,EH8 9AA,55.94697849,-3.18663953,City of Edinburgh
Perth Tennis Club,SC044375,PH1 5HS,56.40193989,-3.43655666,Perth & Kinross
Friends of Willowbank School,SC044376,KA3 7BB,55.61313591,-4.48337954,East Ayrshire
Kettins Parish Hall,SC044380,PH13 9HB,56.53804318,-3.25604604,Perth & Kinross
1st Parkway Senior Section,SC044381,AB10 1UX,57.14522431,-2.11467336,Aberdeen
Mid Calder Primary School Parent Staff Association,SC044390,EH53 0RR,55.88636756,-3.48354391,West Lothian
Onthank Men's Club,SC044398,KA3 7TD,55.62351456,-4.46883439,East Ayrshire
Pittarthie Farm Education Trust,SC044399,KY10 2RZ,56.25889923,-2.79539527,Fife
"Tingwall, Whiteness & Weisdale History Group SCIO",SC044400,ZE2 9LQ,60.23340708,-1.30114331,Shetland Islands
The Findhorn Village Conservation Company ,SC044408,IV36 3YR,57.65745403,-3.6068674,Moray
Morningside Heritage Association,SC044409,EH10 5LE,55.92270267,-3.22307204,City of Edinburgh
1st Wellbank Guide Unit,SC044411,DD5 3QF,56.52840648,-2.85474768,Angus
South Ayrshire Food Bank,SC044413,KA9 2PA,55.50686361,-4.60460457,South Ayrshire
Methilhill Community Children's Initiative Ltd,SC044414,KY8 2GW,56.18768755,-3.03549407,Fife
2nd Albyn Rainbow Unit,SC044415,AB10 1UX,57.14522431,-2.11467336,Aberdeen
Friends of Positive Achievements,SC044416,G64 1HP,55.90513741,-4.20873493,East Dunbartonshire
1st Kirkcolm Brownie Unit,SC044417,DG9 9PS,54.68988464,-4.89457073,Dumfries & Galloway
Lanarkshire African Women's Group,SC044420,ML1 1DT,55.79636963,-3.993898,City of Edinburgh
176th City of Edinburgh Rainbow Unit,SC044421,EH17 7QD,55.91408606,-3.15029214,City of Edinburgh
The Dundee Whitehall Theatre Ltd,SC044422,DD4 7SB,56.47471185,-2.91703032,Dundee City
Aberlour Primary School Enrichment Fund,SC044423,AB38 7AW,57.51555628,-3.20985005,Moray
1st Kirkcolm Guide Unit,SC044424,DG9 9PS,54.68988464,-4.89457073,Dumfries & Galloway
Shetland Golf Club,SC044425,ZE2 9NE,60.29999971,-1.35722044,Shetland Islands
Marymass Festival Committee,SC044427,KA12 8AN,55.61601366,-4.66768383,North Ayrshire
87th City of Dundee Brownie Unit,SC044429,DD3 0RP,56.50029965,-3.01186781,Dundee City
Soul Garden,SC044431,ZE2 9NY,60.18587271,-1.43935834,Dundee City
Heriot Country Kids,SC044436,EH38 5YE,55.75900606,-2.98005688,Scottish Borders
Cardrona Village Association ,SC044438,EH45 9LJ,55.63785241,-3.10491266,Scottish Borders
Friends of Autism Highland,SC044439,IV2 3SE,57.46856841,-4.19798091,Highland
Scottish Muslim Heritage Trust,SC044443,G1 2JA,55.86097255,-4.25437662,Glasgow City
Kirkcaldy Foodbank,SC044446,KY1 3BW,56.12973269,-3.1348747,Fife
Dundee Womens Festival SCIO,SC044450,DD1 1LL,56.46231216,-2.97494317,Dundee City
Skye Sailing Club,SC044451,IV51 9EU,57.40620046,-6.20068162,Highland
TKS Martial Arts and Fitness Charitable Trust,SC044453,KA19 7ED,55.34910315,-4.68543004,South Ayrshire
Potters Garden,SC044457,DG9 8BS,54.90333265,-5.01172467,Dumfries & Galloway
Glenisla Church SCIO,SC044459,EH3 8BL,55.94490563,-3.20670317,Perth & Kinross
Peterhead Street Pastors,SC044460,AB42 3DF,57.51764401,-1.83894792,Aberdeenshire
Nevis Community Radio Limited,SC044464,PH33 6PR,56.8250236,-5.08521439,Highland
Lyle Gateway (SCIO),SC044468,PA16 8TD,55.95365278,-4.78177692,Inverclyde
Kids Have Rights 2,SC044469,PA14 5HL,55.93489684,-4.69842727,North Lanarkshire
1st Clermiston Senior Section Unit,SC044470,EH8 7BY,55.95574824,-3.14292693,City of Edinburgh
Reforesting the Glens,SC044472,EH4 6SE,55.96786015,-3.28178975,City of Edinburgh
LochWatch,SC044477,PA34 4RX,56.41504619,-5.45365121,Argyll & Bute
South Glasgow Church,SC044480,G46 6DX,55.80925802,-4.2874855,East Renfrewshire
3rd Kilsyth Guide Unit,SC044482,G65 9PH,55.98268836,-4.06357558,North Lanarkshire
27thA City of Edinburgh Rainbow Unit,,EH19 3SB,55.86531384,-3.11205009,
Strathdearn Community Developments,SC044487,IV13 7YN,57.3318394,-3.98951035,Highland
Tighnabruaich District Development Trust,SC044488,PA21 2EB,55.91354396,-5.22079332,Argyll & Bute
Stranraer Bowling Club ,SC044491,DG9 8BQ,54.90622141,-5.00871066,Dumfries & Galloway
Armadale and District War Memorial Association ,SC044493,EH48 3QZ,55.90141772,-3.70628975,West Lothian
8th Clyde (St Vincent de Paul) Scout Group,SC044494,G75 9NG,55.73983435,-4.19709014,South Lanarkshire
East Lothian Countryside Volunteers ,SC044495,EH41 4PY,55.97186614,-2.66897419,East Lothian
"St Ninian's Church, Stonehouse",SC044497,ML9 3QS,55.69129567,-3.99705656,South Lanarkshire
3rd Kilsyth Brownie Unit,SC044498,G65 9PH,55.98268836,-4.06357558,North Lanarkshire
Largs Event SCIO,SC044501,KA30 8AB,55.7944931,-4.87028071,North Ayrshire
Hilltown Out of School Club ,SC044502,DD3 7DL,56.46851507,-2.97104436,Dundee City
Aberdalgie and Forteviot Church of Scotland,SC044503,PH2 0DP,56.38503467,-3.44848876,Perth & Kinross
197th City of Edinburgh Rainbow Unit,SC044504,EH4 6QN,55.96377583,-3.31044261,City of Edinburgh
Innerleithen & Walkerburn Community First Responders,SC044511,EH44 6JS,55.61878409,-3.05391419,Scottish Borders
Busby Primary School Parent Council,SC044512,G76 8JB,55.77804697,-4.26061934,Glasgow City
Cabrach Community Association,SC044513,AB54 4EU,57.36697839,-3.02916424,Moray
185th A City of Edinburgh Rainbow Unit,SC044515,EH11 4AN,55.92296217,-3.28494798,City of Edinburgh
Southdean Hall,SC044518,TD9 8TH,55.38812032,-2.5965074,Scottish Borders
Smart Works Edinburgh,SC044520,EH7 4LS,55.96065552,-3.18278119,City of Edinburgh
The Soundhouse Organisation,SC044521,EH8 8JA,55.95490067,-3.16149652,City of Edinburgh
East Renfrewshire Small Grants Trust ,SC044522,G78 1LR,55.79778388,-4.39950373,East Renfrewshire
Carnwadric WIN Project,SC044527,G46 8JG,55.81468575,-4.31537027,Glasgow City
The Brock Garden Centre SCIO,SC044528,EH52 5LH,55.93287351,-3.48397651,West Lothian
West Glenmoriston Community Company,SC044531,IV63 7YJ,57.1778924,-4.79993927,Highland
Queensferry Sports and Community Hub,SC044532,EH30 9JN,55.98618038,-3.387308,West Lothian
Urras Dualchas Shiaboist,SC044533,HS2 9BQ,58.32715098,-6.68213647,Western Isles
Craigellachie Parent Partnership ,SC044537,AB38 9SR,57.48974248,-3.18861026,Moray
4th Chryston Rainbow Unit,SC044538,G69 9EW,55.89811972,-4.10716378,Glasgow City
Scottish Borders LGBT Equality,SC044539,TD8 6UL,55.49762381,-2.62274474,Scottish Borders
Animal Support & Rescue SCIO,SC044540,PA9 1DL,55.79921716,-4.58371272,Renfrewshire
Friends of St Nicholas,SC044541,KW17 2SD,58.89662236,-2.84395464,Orkney Islands
2nd Machar Rainbow Unit,SC044543,AB10 1UX,57.14522431,-2.11467336,Aberdeen
Badenoch and Strathspey Therapy Gardens,SC044544,PH21 1LA,57.08417494,-4.05010691,Highland
The Signet Library Heritage Fund,SC044547,EH1 1RF,55.94951716,-3.18987193,City of Edinburgh
Gardenstown Church Trust,SC044548,AB45 3YF,57.66999232,-2.33202419,Aberdeenshire
36th Glasgow Scout Group,SC044549,G66 3DA,55.93044567,-4.14879666,East Dunbartonshire
Friends of Linburn,SC044550,G52 4EX,55.85449691,-4.36704778,Glasgow City
Dunfermline Free Church of Scotland,SC044551,KY11 8QY,56.05774726,-3.41923343,Fife
Dundee Chinese School,SC044552,DD1 3EW,56.46257133,-2.96592665,Dundee City
53rd City of Edinburgh Brownie Unit,SC044554,EH7 6GY,55.96714571,-3.14733232,City of Edinburgh
Silver Rock Foundation (SCIO),SC044557,KW10 6TY,57.97135794,-3.98006142,Highland
Hawick Community Cafe,SC044559,TD9 9TZ,55.32860951,-2.73612812,Scottish Borders
All Shapes And Sizes,SC044560,AB11 7SL,57.13162076,-2.09730238,Aberdeen
Children in Poverty Inverclyde,SC044563,PA16 0EW,55.90933058,-4.86053694,Inverclyde
63rd City of Dundee Guide Unit,SC044564,DD5 3PD,56.51041732,-2.88336332,Dundee City
Victoria Hall Dunblane (SCIO),SC044567,FK15 9EX,56.18546266,-3.96504821,Stirling
Fochabers Village Association,SC044569,IV32 7DU,57.61367725,-3.09597088,Moray
3rd Kelso Rainbow Unit,SC044571,TD5 7UF,55.60849571,-2.42266854,Scottish Borders
Hope Church Borders,SC044574,TD7 4JW,55.55702009,-2.83140671,Scottish Borders
Braidwood Bikepark Group,SC044576,EH9 3AH,55.92803248,-3.17493685,City of Edinburgh
4th Ayr Company The Boys Brigade,SC044577,KA7 4PW,55.43222341,-4.64260451,South Ayrshire
The Midlothian Muslim Community Centre Trust,SC044579,EH19 3AD,55.87515073,-3.10531476,Midlothian
Chirnside Development Group,SC044581,TD11 3YG,55.80381776,-2.19772727,Scottish Borders
Absolute Classics,SC044584,DG12 6AD,54.98700504,-3.26346325,Dumfries & Galloway
Ellon and District Men's Shed,SC044586,AB41 9AW,57.37020635,-2.08383577,Aberdeenshire
West Lothian Armed Forces Day,SC044587,EH54 6UG,55.89830135,-3.52614237,West Lothian
"The Croft (Visitors' Support and Advice Centre, HMP Barlinnie) SCIO",SC044589,G33 2QW,55.86834509,-4.1910453,Glasgow City
Yetholm History Society,SC044596,TD5 8SA,55.54700145,-2.28531329,Scottish Borders
Forth Valley College Foundation,SC044597,EH3 9EE,55.94372139,-3.19360096,City of Edinburgh
Fife College Foundation,SC044598,EH3 9EE,55.94372139,-3.19360096,City of Edinburgh
The 4th Kirkcaldy Company of the Boys' Brigade,SC044601,KY1 2AU,56.12687116,-3.12650542,Fife
Paisley Muslim Community Trust,SC044603,G52 4EU,55.85363588,-4.36602074,Renfrewshire
Stonelaw Pre School Group,SC044604,G73 3EG,55.82398653,-4.20796389,South Lanarkshire
Niel Gow Festival Society,SC044610,PH16 5QS,56.7084727,-3.7433636,Perth & Kinross
Glasgow Clyde Education Foundation,SC044616,EH1 1RF,55.94951716,-3.18987193,Glasgow City
Stockbridge Senior Section Unit,SC044618,EH14 2AF,55.92736215,-3.26439928,City of Edinburgh
City of Glasgow College Foundation,SC044620,G2 5SG,55.86226254,-4.26097172,Glasgow City
Dumfries and Galloway Further Education Foundation,SC044622,DG1 4FD,55.04717371,-3.58508598,Dumfries & Galloway
Carnwadric Community Hall SCIO,SC044628,G46 8PS,55.81000797,-4.32035923,Glasgow City
Street Church Edinburgh,SC044631,EH15 3RT,55.93947516,-3.11355025,City of Edinburgh
Glasgow Kelvin Learning Foundation SCIO,SC044632,G21 4TD,55.88047843,-4.2290463,Glasgow City
Bo'ness Community First Responders,SC044639,EH51 9JE,56.00487168,-3.60629642,West Lothian
Hawick Acorn Project Initiative SCIO,SC044641,TD6 0EP,55.56752427,-2.64497244,Scottish Borders
Balfron Bowling Club,SC044643,G63 0RG,56.06851761,-4.34024462,Glasgow City
Helensburgh Community Woodlands Group,SC044648,G84 9PY,56.01321651,-4.7475014,Argyll & Bute
3rd Netherlee Brownies,,G44 3TD,55.80210449,-4.27243356,
Himalayan Centre Edinburgh ,SC044650,EH4 5JB,55.96993643,-3.27306208,Dumfries & Galloway
Friends of Burghlee Park,SC044651,EH20 9BE,55.87499069,-3.15885339,Midlothian
Radio Buckie (Bck),SC044654,AB56 1QB,57.67335626,-2.97112018,Moray
Friends of Roseburn Park (SCIO),SC044659,EH12 6AL,55.94617514,-3.23365974,City of Edinburgh
2nd Montrose Scout Group,SC044663,DD9 6UA,56.70650653,-2.58262179,Angus
Stirling Free Church of Scotland,SC044664,FK7 0HJ,56.09523087,-3.92676821,Stirling
